src_ip,dst_ip,src_port,dst_port,protocol,bytes,attack_type
149.154.167.51,192.168.1.221,80,53914,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53914,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53917,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53902,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53917,80,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53902,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53899,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53899,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53898,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53898,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53919,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53919,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53897,TCP,223,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53912,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53912,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53913,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53913,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53909,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53909,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53925,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53925,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53926,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53926,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53927,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53927,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53924,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53924,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53910,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53900,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53923,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53910,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53900,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53923,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53905,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53905,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53916,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53916,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53918,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53918,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53922,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53922,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53896,TCP,223,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53901,TCP,223,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53904,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53911,TCP,223,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53920,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53904,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53920,80,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53908,TCP,223,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53907,TCP,223,DDOS_OR_BRUTE_FORCE
